Xvalue,Yvalue,Zvalue,,TPC,PD,Prob,,X90,Y90,Z90,,X80,Y80,Z80,,X70,Y70,Z70,,X60,Y60,Z60
139.3,4450.2,0.9976,,"1,503.98",46.73,0,,139.3,4450.2,0.9976,,,,,,,,,,,,
141.9,4000.4,0.9964,,"2,152.38",72.81,0.1,,141.9,4000.4,0.9964,,,,,,,,,,,,
140.8,3954.9,0.9952,,"2,330.26",79.33,0.2,,140.8,3954.9,0.9952,,,,,,,,,,,,
140.3,3942.5,0.9944,,"2,473.70",84.83,0.3,,140.3,3942.5,0.9944,,,,,,,,,,,,
133.4,4330.7,0.994,,"2,588.99",89.21,0.4,,133.4,4330.7,0.994,,,,,,,,,,,,
132,4212.2,0.9926,,"2,698.30",93.5,0.5,,132,4212.2,0.9926,,,,,,,,,,,,
136.6,3922.6,0.9924,,"2,812.37",97.56,0.6,,136.6,3922.6,0.9924,,,,,,,,,,,,
133.5,3986,0.9914,,"2,937.24",101.93,0.7,,133.5,3986,0.9914,,,,,,,,,,,,
130.4,4153.1,0.9908,,"3,092.77",107.09,0.8,,130.4,4153.1,0.9908,,,,,,,,,,,,
134.1,3911.7,0.9902,,"3,299.04",114.53,0.9,,134.1,3911.7,0.9902,,,,,,,,,,,,
130.4,4013.8,0.9898,,"4,450.16",152.02,1,,130.4,4013.8,0.9898,,,,,,,,,,,,
130.2,3990.9,0.9886,,,,,,130.2,3990.9,0.9886,,,,,,,,,,,,
132.1,3904.5,0.9884,,,,,,132.1,3904.5,0.9884,,,,,,,,,,,,
131.1,3862.6,0.9862,,,,,,131.1,3862.6,0.9862,,,,,,,,,,,,
130.1,3887,0.9854,,,,,,130.1,3887,0.9854,,,,,,,,,,,,
127.8,4060.4,0.9838,,,,,,127.8,4060.4,0.9838,,,,,,,,,,,,
127.4,4166,0.983,,,,,,127.4,4166,0.983,,,,,,,,,,,,
137.7,3740.5,0.9824,,,,,,137.7,3740.5,0.9824,,,,,,,,,,,,
142.3,3687.5,0.9792,,,,,,142.3,3687.5,0.9792,,,,,,,,,,,,
126.7,3888.5,0.9772,,,,,,126.7,3888.5,0.9772,,,,,,,,,,,,
146,3668.7,0.977,,,,,,146,3668.7,0.977,,,,,,,,,,,,
135.1,3684.6,0.977,,,,,,135.1,3684.6,0.977,,,,,,,,,,,,
128.5,3772.4,0.9758,,,,,,128.5,3772.4,0.9758,,,,,,,,,,,,
140.4,3657,0.9754,,,,,,140.4,3657,0.9754,,,,,,,,,,,,
126.7,3836.6,0.9754,,,,,,126.7,3836.6,0.9754,,,,,,,,,,,,
